id	gender	age	adv	category	frequency	word_length	surprisal	adv_RT	sentence	sentence_RT
003	F	25	confidently	common	3.41	11	16.01131820678711	2.4043216705322266	11	19.98262882232666
003	F	25	tenaciously	rare	2.19	11	31.364498138427734	3.3757980823516846	6	17.106987094879152
003	F	25	belligerently	rare	1.9	13	55.433589935302734	3.3433971405029297	2	22.622178077697754
003	F	25	constantly	common	4.53	10	15.275320053100586	1.262963056564331	7	10.63736605644226
003	F	25	carefully	common	4.46	9	14.272598266601562	1.1031928062438965	9	9.388272285461426
003	F	25	mundanely	rare	1.19	9	31.853524208068848	3.3591158390045166	10	6.901008129119873
003	F	25	petulantly	rare	1.7	10	61.445457458496094	1.9062318801879883	8	11.955035924911499
003	F	25	amiably	rare	2.02	7	34.04397487640381	1.6728301048278809	0	7.380220890045166
003	F	25	nervously	common	3.27	9	15.868431091308594	2.86382794380188	5	9.049551010131836
003	F	25	unexpectedly	common	3.71	12	15.709169387817383	1.2288360595703125	3	4.250692129135132
003	F	25	successfully	common	4.45	12	15.366941452026367	0.960686206817627	1	8.107548952102661
003	F	25	affably	rare	1.68	7	33.415852546691895	3.938764810562134	4	8.81502914428711
004	M	26	unexpectedly	common	3.71	12	15.709169387817383	1.465075969696045	3	5.467484951019287
004	M	26	tenaciously	rare	2.19	11	31.364498138427734	2.489888906478882	6	9.701995134353638
004	M	26	carefully	common	4.46	9	14.272598266601562	1.2924938201904297	9	9.060858964920044
004	M	26	belligerently	rare	1.9	13	55.433589935302734	1.7656519412994385	2	11.688600063323975
004	M	26	amiably	rare	2.02	7	34.04397487640381	1.3508150577545166	0	6.656277418136597
004	M	26	mundanely	rare	1.19	9	31.853524208068848	1.5259709358215332	10	4.730241060256958
004	M	26	constantly	common	4.53	10	15.275320053100586	0.9158651828765869	7	5.5598461627960205
004	M	26	affably	rare	1.68	7	33.415852546691895	0.7124972343444824	4	5.409214973449707
004	M	26	nervously	common	3.27	9	15.868431091308594	1.4154040813446045	5	6.086752891540527
004	M	26	petulantly	rare	1.7	10	61.445457458496094	4.780891180038452	8	11.662760972976685
004	M	26	successfully	common	4.45	12	15.366941452026367	0.8170459270477295	1	5.410743951797485
004	M	26	confidently	common	3.41	11	16.01131820678711	1.0730979442596436	11	11.536597967147827
005	M	25	constantly	common	4.53	10	15.275320053100586	1.4641692638397217	7	8.122767925262451
005	M	25	mundanely	rare	1.19	9	31.853524208068848	1.9994101524353027	10	24.62654399871826
005	M	25	affably	rare	1.68	7	33.415852546691895	1.11983323097229	4	10.588623046875
005	M	25	petulantly	rare	1.7	10	61.445457458496094	2.4511401653289795	8	13.046662092208862
005	M	25	unexpectedly	common	3.71	12	15.709169387817383	1.3322029113769531	3	5.664638996124268
005	M	25	nervously	common	3.27	9	15.868431091308594	0.9591999053955078	5	9.237782955169678
005	M	25	tenaciously	rare	2.19	11	31.364498138427734	1.949774980545044	6	7.346668004989624
005	M	25	carefully	common	4.46	9	14.272598266601562	1.5383110046386719	9	5.760831117630005
005	M	25	successfully	common	4.45	12	15.366941452026367	0.916628360748291	1	5.889220952987671
005	M	25	belligerently	rare	1.9	13	55.433589935302734	1.9163827896118164	2	7.890662908554077
005	M	25	confidently	common	3.41	11	16.01131820678711	0.9882738590240479	11	6.562428951263428
005	M	25	amiably	rare	2.02	7	34.04397487640381	0.4988081455230713	0	4.120874881744385
009	F	23	desperately	common	3.98	11	13.908486366271973	5.0970299243927	6	15.307327032089233
009	F	23	ferociously	rare	2.46	11	59.79363441467285	3.4370498657226562	3	9.944220066070557
009	F	23	angrily	common	3.34	7	15.555511474609375	6.89140510559082	4	16.418685913085938
009	F	23	happily	common	4.11	7	16.239721298217773	2.1082639694213867	0	9.301954746246338
009	F	23	dexterously	rare	1.43	11	33.66762161254883	2.0865237712860107	1	10.867386102676392
009	F	23	sedulously	rare	1.2	10	31.638813018798828	2.6563661098480225	9	14.408977270126343
009	F	23	insidiously	rare	2.09	11	58.4285945892334	2.529041290283203	7	10.900016069412231
009	F	23	emotionally	common	4.04	11	14.575103759765625	2.9128220081329346	8	12.588168144226074
009	F	23	passionately	common	3.33	12	17.545166015625	1.6360352039337158	2	11.961260080337524
009	F	23	languidly	rare	2.04	9	46.11696910858154	2.8021960258483887	5	9.630422115325928
009	F	23	audaciously	rare	1.87	11	34.2632417678833	2.0012810230255127	11	10.37896203994751
009	F	23	normally	common	4.57	8	15.229681015014648	1.4847040176391602	10	4.9379119873046875
013	F	24	ferociously	rare	2.46	11	59.79363441467285	6.1167168617248535	3	15.822425127029419
013	F	24	passionately	common	3.33	12	17.545166015625	2.916891098022461	2	20.35983633995056
013	F	24	desperately	common	3.98	11	13.908486366271973	1.4096870422363281	6	7.776335954666138
013	F	24	angrily	common	3.34	7	15.555511474609375	1.976438045501709	4	6.316341876983643
013	F	24	dexterously	rare	1.43	11	33.66762161254883	0.7170400619506836	1	8.55430006980896
013	F	24	happily	common	4.11	7	16.239721298217773	0.5890398025512695	0	3.9391729831695557
013	F	24	emotionally	common	4.04	11	14.575103759765625	1.302854061126709	8	6.951933860778809
013	F	24	audaciously	rare	1.87	11	34.2632417678833	5.025150775909424	11	10.24776315689087
013	F	24	insidiously	rare	2.09	11	58.4285945892334	1.8169887065887451	7	12.142668008804321
013	F	24	normally	common	4.57	8	15.229681015014648	0.6021890640258789	10	2.497067928314209
013	F	24	languidly	rare	2.04	9	46.11696910858154	0.6632919311523438	5	5.423831939697266
013	F	24	sedulously	rare	1.2	10	31.638813018798828	5.664407014846802	9	10.131340980529785
010	M	27	audaciously	rare	1.87	11	34.2632417678833	8.69055461883545	11	21.3781259059906
010	M	27	dexterously	rare	1.43	11	33.66762161254883	1.3775031566619873	1	6.42351770401001
010	M	27	ferociously	rare	2.46	11	59.79363441467285	1.518052339553833	3	4.104229211807251
010	M	27	happily	common	4.11	7	16.239721298217773	1.0237376689910889	0	5.412170171737671
010	M	27	insidiously	rare	2.09	11	58.4285945892334	1.3171539306640625	7	7.606116771697998
010	M	27	angrily	common	3.34	7	15.555511474609375	1.0016236305236816	4	4.589388370513916
010	M	27	languidly	rare	2.04	9	46.11696910858154	1.030771017074585	5	4.977577447891235
010	M	27	normally	common	4.57	8	15.229681015014648	0.37219810485839844	10	1.827188491821289
010	M	27	emotionally	common	4.04	11	14.575103759765625	0.9322788715362549	8	8.279264450073242
010	M	27	desperately	common	3.98	11	13.908486366271973	1.1129224300384521	6	5.454644441604614
